City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,avarua,-21.2078,-159.775,26.03,73,20,4.63,CK,1718917260
115,susuman,62.7833,148.1667,19.45,47,68,0.57,RU,1718917261
116,luderitz,-26.6481,15.1594,12.93,81,33,1.11,NA,1718917262
117,papao,-17.75,-149.55,27.82,66,20,5.99,PF,1718917263
118,paracuru,-3.41,-39.0306,27.84,90,40,4.53,BR,1718917264
119,entebbe,0.0644,32.4469,22.65,70,58,2.93,UG,1718917265
120,baise city,23.8997,106.6133,25.6,96,92,1.36,CN,1718917266
121,aasiaat,68.7098,-52.8699,3.08,85,17,3.58,GL,1718917269
122,puerto colombia,10.9878,-74.9547,29.05,69,100,4.35,CO,1718917270
123,polyarnyy,69.1989,33.4478,7.36,98,100,4.93,RU,1718917271
124,kongolo,-5.3833,27.0,24.91,44,5,1.19,CD,1718917272
125,la'ie,21.6477,-157.9253,29.98,75,94,4.47,US,1718917273
126,tazacorte,28.629,-17.9293,20.54,70,20,7.72,ES,1718917274
127,atafu village,-8.5421,-172.5159,28.68,77,15,3.47,TK,1718917276
128,puerto ayora,-0.7393,-90.3518,26.98,92,90,2.24,EC,1718917277
129,fale old settlement,-9.3852,-171.2468,28.78,78,40,5.76,TK,1718917278
130,longyearbyen,78.2186,15.6401,8.91,43,0,6.69,SJ,1718917279
131,greenville,35.6127,-77.3663,32.29,42,40,2.06,US,1718917132
132,kununurra,-15.7667,128.7333,20.99,52,64,2.57,AU,1718917281
133,gamba,-2.65,10.0,21.89,88,32,3.21,GA,1718917283
134,la passe,45.5549,-0.8967,18.32,88,100,2.82,FR,1718917284
135,limon,10.0,-83.0333,27.94,78,75,1.54,CR,1718917286
136,sarangani,5.4033,125.4636,27.62,79,100,2.03,PH,1718917287
137,charters towers,-20.1,146.2667,13.3,95,0,2.0,AU,1718917288
138,al kharj,24.155,47.3346,37.32,6,0,4.25,SA,1718917266
139,at-bashi,41.1702,75.8106,12.69,74,96,1.39,KG,1718917290
140,thunder bay,48.4001,-89.3168,18.99,48,100,3.6,CA,1718917217
141,lichinga,-13.3128,35.2406,18.05,72,0,5.14,MZ,1718917293
